Signal ID,Location Name,Operation State,Operation Text,Operation State Datetime,Processed Datetime,Plan ID,Primary St,Cross St,Location
4115, ROBERT DEDMAN DR / 20TH ST,3,Communication issue,03/20/2025 12:34:22 AM,05/06/2025 10:40:15 PM,254, ROBERT DEDMAN DR, 20TH ST,POINT (-97.731845 30.281027)
572, PARMER LN / INNOVAR CIR,3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,1, PARMER LN, INNOVAR CIR,POINT (-97.631714 30.376001)
926, CAMERON RD / FERGUSON LN,3,Communication issue,04/18/2025 09:42:33 AM,05/06/2025 10:40:15 PM,3, CAMERON RD, FERGUSON LN,POINT (-97.67749 30.345804)
969,2901 BLK S LAKELINE BLVD (Lakeline Boulevard & HEB Driveway),3,Communication issue,05/06/2025 11:24:15 AM,05/06/2025 10:40:15 PM,1, LAKELINE BLVD,,POINT (-97.805733 30.477882)
1025, LAMAR BLVD / POWELL LN,3,Communication issue,05/06/2025 10:37:58 AM,05/06/2025 10:40:15 PM,1, LAMAR BLVD, POWELL LN,POINT (-97.709161 30.350815)
1069,US 290 HWY / OLD BEE CAVES RD,3,Communication issue,08/14/2023 07:06:45 AM,05/06/2025 10:40:15 PM,2,US 290 HWY, OLD BEE CAVES RD,POINT (-97.871231 30.233981)
450, STECK AVE / MOPAC EXPY SVRD,2,Unscheduled (Conflict) flash,05/06/2025 10:00:08 PM,05/06/2025 10:40:15 PM,254, STECK AVE, MOPAC EXPY SVRD,POINT (-97.741921 30.367931)
734, DESSAU RD / DUNGAN LN,3,Communication issue,04/18/2025 09:42:33 AM,05/06/2025 10:40:15 PM,1, DESSAU RD, DUNGAN LN,POINT (-97.675087 30.352268)
235, 1ST ST / LIGHTSEY RD,3,Communication issue,04/18/2025 09:42:33 AM,05/06/2025 10:40:15 PM,1, 1ST ST, LIGHTSEY RD,POINT (-97.765732 30.23241)
639, LAMAR BLVD SVRD / RESEARCH BLVD SVRD,3,Communication issue,07/23/2021 03:30:58 AM,05/06/2025 10:40:15 PM,0, LAMAR BLVD SVRD, RESEARCH BLVD SVRD,POINT (-97.712532 30.348351)
246, 12TH ST / LAVACA ST,3,Communication issue,05/04/2025 01:31:20 PM,05/06/2025 10:40:15 PM,1, 12TH ST, LAVACA ST,POINT (-97.743034 30.274534)
828, DESSAU RD / PARMER LN,3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,1, DESSAU RD, PARMER LN,POINT (-97.648537 30.387005)
706,US 290 HWY / WILLIAM CANNON DR,3,Communication issue,01/31/2023 11:13:22 AM,05/06/2025 10:40:15 PM,47,US 290 HWY, WILLIAM CANNON DR,POINT (-97.86483 30.234057)
881, ST ELMO RD / WOODWARD ST,3,Communication issue,04/30/2025 06:33:18 PM,05/06/2025 10:40:15 PM,0, ST ELMO RD, WOODWARD ST,POINT (-97.747315 30.210224)
867, LAKE CREEK PKWY / HYMEADOW DR,3,Communication issue,05/06/2025 11:19:59 AM,05/06/2025 10:40:15 PM,254, LAKE CREEK PKWY, HYMEADOW DR,POINT (-97.789223 30.463852)
1050, MARTIN LUTHER KING JR BLVD / COLORADO ST,3,Communication issue,05/06/2025 01:01:33 PM,05/06/2025 10:40:15 PM,1, MARTIN LUTHER KING JR BLVD, COLORADO ST,POINT (-97.73946 30.281042)
4007,"700 BLK E 7TH ST (APD, Sabine St)",3,Communication issue,01/29/2025 12:50:22 PM,05/06/2025 10:40:15 PM,0, 7TH ST,,POINT (-97.735489 30.267042)
98, SPICEWOOD SPRINGS RD / MOPAC EXPY SVRD,2,Unscheduled (Conflict) flash,05/06/2025 09:45:07 PM,05/06/2025 10:40:15 PM,7, SPICEWOOD SPRINGS RD, MOPAC EXPY SVRD,POINT (-97.745232 30.361263)
814, FREIDRICH LN / TERI RD,3,Communication issue,04/18/2025 09:42:33 AM,05/06/2025 10:40:15 PM,254, FREIDRICH LN, TERI RD,POINT (-97.753937 30.203291)
741, PARMER LN / MC CALLEN PASS,3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,1, PARMER LN, MC CALLEN PASS,POINT (-97.663933 30.40526)
1103, ANDERSON MILL RD / PECAN CREEK PKWY,3,Communication issue,05/05/2025 08:45:47 AM,05/06/2025 10:40:15 PM,2, ANDERSON MILL RD, PECAN CREEK PKWY,POINT (-97.811941 30.446947)
1112, DESSAU RD / MEADOWMEAR DR,3,Communication issue,04/18/2025 09:42:33 AM,05/06/2025 10:40:15 PM,1, DESSAU RD, MEADOWMEAR DR,POINT (-97.670848 30.358837)
707,US 183 HWY SVRD / PECAN PARK BLVD,3,Communication issue,05/06/2025 11:19:59 AM,05/06/2025 10:40:15 PM,1,US 183 HWY SVRD, PECAN PARK BLVD,POINT (-97.796272 30.465315)
955,US 290 HWY SVRD / OLD FREDERICKSBURG RD,3,Communication issue,04/04/2023 12:08:37 PM,05/06/2025 10:40:15 PM,254,US 290 HWY SVRD, OLD FREDERICKSBURG RD,POINT (-97.852142 30.235657)
960, CAMERON RD / RUNDBERG LN,3,Communication issue,01/25/2024 10:37:46 AM,05/06/2025 10:40:15 PM,1, CAMERON RD, RUNDBERG LN,POINT (-97.675972 30.350773)
451, STECK AVE / SHOAL CREEK BLVD,3,Communication issue,05/01/2025 08:29:19 AM,05/06/2025 10:40:15 PM,254, STECK AVE, SHOAL CREEK BLVD,POINT (-97.73864 30.36635)
740, PARMER LN / HARRIS RIDGE BLVD,3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,1, PARMER LN, HARRIS RIDGE BLVD,POINT (-97.657372 30.402313)
939, ANDERSON MILL RD / MORRIS RD,3,Communication issue,05/06/2025 11:38:30 AM,05/06/2025 10:40:15 PM,254, ANDERSON MILL RD, MORRIS RD,POINT (-97.766571 30.456282)
384, RIVERSIDE DR / 35 SVRD,3,Communication issue,04/18/2025 09:42:33 AM,05/06/2025 10:40:15 PM,2, RIVERSIDE DR,IH 35 SVRD,POINT (-97.734886 30.247843)
1056, PARMER LN / YAGER LN,3,Communication issue,04/18/2025 09:42:34 AM,05/06/2025 10:40:15 PM,5, PARMER LN, YAGER LN,POINT (-97.650832 30.388348)
863, HARRIS BRANCH PKWY / PARMER LN,3,Communication issue,05/01/2025 10:32:08 AM,05/06/2025 10:40:15 PM,254, HARRIS BRANCH PKWY, PARMER LN,POINT (-97.613174 30.368521)
21, MARTIN LUTHER KING JR BLVD / NUECES ST,3,Communication issue,05/06/2025 01:01:33 PM,05/06/2025 10:40:15 PM,1, MARTIN LUTHER KING JR BLVD, NUECES ST,POINT (-97.743744 30.282238)
748, LAKE AUSTIN BLVD / VETERANS DR,3,Communication issue,05/05/2025 09:53:49 AM,05/06/2025 10:40:15 PM,1, LAKE AUSTIN BLVD, VETERANS DR,POINT (-97.771866 30.277687)
